iter	Passed	Remaining
0	18	56596
1	37	55667
2	54	54425
3	72	54236
4	89	53753
5	108	54179
6	126	54236
7	145	54431
8	165	55105
9	183	54970
10	202	54909
11	220	54863
12	238	54766
13	256	54731
14	274	54645
15	291	54417
16	310	54516
17	328	54436
18	346	54393
19	364	54310
20	382	54221
21	400	54262
22	419	54303
23	438	54363
24	456	54330
25	476	54523
26	494	54477
27	512	54405
28	531	54422
29	549	54370
30	567	54398
31	586	54420
32	605	54410
33	623	54386
34	641	54355
35	660	54418
36	679	54454
37	699	54500
38	717	54512
39	735	54445
40	753	54407
41	771	54351
42	789	54279
43	811	54506
44	829	54472
45	847	54407
46	865	54406
47	885	54473
48	904	54479
49	923	54501
50	941	54462
51	962	54544
52	979	54489
53	1000	54576
54	1018	54513
55	1035	54452
56	1053	54402
57	1070	54308
58	1088	54262
59	1109	54384
60	1126	54287
61	1144	54217
62	1161	54170
63	1179	54105
64	1197	54058
65	1215	54023
66	1232	53963
67	1249	53866
68	1266	53812
69	1284	53760
70	1305	53841
71	1322	53794
72	1341	53778
73	1359	53767
74	1380	53849
75	1401	53939
76	1419	53888
77	1437	53832
78	1456	53849
79	1474	53802
80	1492	53771
81	1509	53726
82	1526	53654
83	1544	53621
84	1563	53608
85	1580	53537
86	1599	53567
87	1616	53490
88	1634	53473
89	1652	53439
90	1669	53370
91	1689	53390
92	1708	53395
93	1725	53351
94	1743	53314
95	1764	53364
96	1784	53410
97	1802	53386
98	1821	53379
99	1840	53376
100	1860	53412
101	1879	53399
102	1900	53444
103	1925	53605
104	1943	53584
105	1961	53548
106	1982	53598
107	2000	53579
108	2018	53540
109	2037	53529
110	2056	53524
111	2074	53479
112	2092	53454
113	2110	53436
114	2128	53390
115	2147	53393
116	2164	53328
117	2182	53314
118	2200	53276
119	2215	53181
120	2231	53097
121	2247	53018
122	2264	52971
123	2285	53008
124	2303	52975
125	2320	52939
126	2338	52899
127	2355	52856
128	2373	52826
129	2394	52873
130	2412	52835
131	2430	52800
132	2449	52799
133	2466	52747
134	2487	52790
135	2506	52775
136	2523	52736
137	2541	52707
138	2561	52725
139	2579	52691
140	2597	52674
141	2615	52634
142	2632	52587
143	2649	52547
144	2666	52503
145	2685	52489
146	2702	52446
147	2721	52438
148	2739	52416
149	2757	52387
150	2777	52405
151	2795	52372
152	2811	52322
153	2830	52314
154	2848	52288
155	2866	52259
156	2884	52231
157	2902	52199
158	2920	52180
159	2938	52158
160	2954	52106
161	2974	52108
162	2992	52092
163	3011	52076
164	3029	52051
165	3047	52025
166	3066	52013
167	3085	52018
168	3103	51984
169	3120	51954
170	3139	51937
171	3159	51955
172	3178	51939
173	3197	51935
174	3216	51918
175	3235	51913
176	3254	51902
177	3272	51888
178	3293	51909
179	3310	51865
180	3329	51850
181	3347	51828
182	3366	51817
183	3385	51814
184	3403	51795
185	3421	51766
186	3439	51746
187	3457	51708
188	3475	51693
189	3493	51663
190	3510	51632
191	3528	51597
192	3545	51568
193	3564	51563
194	3582	51535
195	3601	51517
196	3619	51502
197	3638	51484
198	3656	51463
199	3673	51432
200	3691	51406
201	3708	51363
202	3725	51326
203	3742	51298
204	3759	51258
205	3779	51255
206	3797	51236
207	3815	51215
208	3833	51196
209	3852	51177
210	3871	51174
211	3889	51155
212	3906	51118
213	3923	51083
214	3941	51053
215	3960	51040
216	3978	51020
217	3997	51010
218	4015	50987
219	4034	50976
220	4050	50936
221	4069	50924
222	4087	50906
223	4104	50871
224	4121	50835
225	4141	50833
226	4159	50816
227	4179	50813
228	4197	50789
229	4214	50757
230	4231	50719
231	4248	50693
232	4266	50665
233	4287	50677
234	4308	50696
235	4326	50667
236	4345	50663
237	4364	50646
238	4383	50633
239	4401	50613
240	4418	50583
241	4436	50563
242	4453	50523
243	4473	50523
244	4490	50499
245	4508	50470
246	4527	50463
247	4546	50451
248	4564	50425
249	4585	50440
250	4602	50407
251	4621	50394
252	4640	50389
253	4658	50366
254	4677	50353
255	4695	50325
256	4713	50303
257	4730	50278
258	4748	50258
259	4766	50227
260	4785	50224
261	4804	50208
262	4822	50186
263	4841	50176
264	4861	50175
265	4879	50152
266	4896	50125
